,Attrition,Business Travel,CF_age band,CF_attrition label,Department,Education Field,emp no,Employee Number,Gender,Job Role,Marital Status,Over Time,Over18,Training Times Last Year,Age,CF_current Employee,Daily Rate,Distance From Home,Education,Employee Count,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager,Job Satisfaction Status,Age Bucket
294,No,Travel_Frequently,35 - 44,Current Employees,R&D,Medical,STAFF-295,403.0,Male,Research Scientist,Married,Yes,Y,3,37,1,889,9,Bachelor's Degree,1,2,53,3,1,4,2326,11411,1,12,3,3,80,3,4,2,4,2,1,2,Very Dissatisfied ,36-45
295,No,Travel_Frequently,35 - 44,Current Employees,Sales,Marketing,STAFF-296,404.0,Female,Sales Executive,Married,No,Y,2,42,1,555,26,Bachelor's Degree,1,3,77,3,4,2,13525,14864,5,14,3,4,80,1,23,4,20,4,4,8,Satisfied,36-45
296,Yes,Travel_Rarely,Under 25,Ex-Employees,R&D,Life Sciences,STAFF-297,405.0,Male,Laboratory Technician,Single,No,Y,2,18,0,230,3,Bachelor's Degree,1,3,54,3,1,3,1420,25233,1,13,3,3,80,0,0,3,0,0,0,0,Dissatisfied ,18-25
297,No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,STAFF-298,406.0,Male,Sales Executive,Married,No,Y,3,35,1,1232,16,Bachelor's Degree,1,3,96,3,3,2,8020,5100,0,15,3,3,80,2,12,2,11,9,6,9,Satisfied,26-35
298,No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-299,407.0,Male,Laboratory Technician,Married,No,Y,2,36,1,566,18,Master's Degree,1,3,81,4,1,4,3688,7122,4,18,3,4,80,2,4,3,1,0,0,0,Very Dissatisfied ,36-45
299,No,Travel_Rarely,45 - 54,Current Employees,R&D,Medical,STAFF-300,408.0,Male,Manufacturing Director,Divorced,No,Y,3,51,1,1302,2,Bachelor's Degree,1,4,84,1,2,2,5482,16321,5,18,3,4,80,1,13,3,4,1,1,2,Satisfied,46-55
300,No,Travel_Rarely,35 - 44,Current Employees,Sales,Life Sciences,STAFF-301,410.0,Male,Manager,Single,No,Y,2,41,1,334,2,Master's Degree,1,4,88,3,4,2,16015,15896,1,19,3,2,80,0,22,3,22,10,0,4,Satisfied,36-45
301,No,Travel_Rarely,Under 25,Current Employees,Sales,Medical,STAFF-302,411.0,Female,Sales Representative,Single,No,Y,2,18,1,812,10,Bachelor's Degree,1,4,69,2,1,3,1200,9724,1,12,3,1,80,0,0,3,0,0,0,0,Dissatisfied ,18-25
302,No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-303,412.0,Male,Healthcare Representative,Single,No,Y,2,28,1,1476,16,Associates Degree,1,2,68,4,2,1,5661,4824,0,19,3,3,80,0,9,3,8,3,0,7,Very Satisfied,26-35
303,No,Travel_Rarely,25 - 34,Current Employees,Sales,Technical Degree,STAFF-304,416.0,Male,Sales Executive,Married,No,Y,3,31,1,218,7,Bachelor's Degree,1,2,100,4,2,4,6929,12241,4,11,3,2,80,1,10,2,8,7,7,7,Very Dissatisfied ,26-35
304,No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-305,417.0,Male,Healthcare Representative,Divorced,No,Y,5,39,1,1132,1,Bachelor's Degree,1,3,48,4,3,4,9613,10942,0,17,3,1,80,3,19,2,18,10,3,7,Very Dissatisfied ,36-45
305,No,Non-Travel,35 - 44,Current Employees,R&D,Life Sciences,STAFF-306,419.0,Female,Laboratory Technician,Married,No,Y,3,36,1,1105,24,Master's Degree,1,2,47,3,2,2,5674,6927,7,15,3,3,80,1,11,3,9,8,0,8,Satisfied,36-45
306,No,Travel_Rarely,25 - 34,Current Employees,Sales,Life Sciences,STAFF-307,420.0,Male,Sales Executive,Married,No,Y,3,32,1,906,7,Bachelor's Degree,1,4,91,2,2,3,5484,16985,1,14,3,3,80,1,13,2,13,8,4,8,Dissatisfied ,26-35
307,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-308,421.0,Female,Research Director,Married,No,Y,2,38,1,849,25,Associates Degree,1,1,81,2,3,2,12061,26707,3,17,3,3,80,1,19,3,10,8,0,1,Satisfied,36-45
308,No,Non-Travel,Over 55,Current Employees,R&D,Life Sciences,STAFF-309,422.0,Male,Healthcare Representative,Divorced,Yes,Y,2,58,1,390,1,Master's Degree,1,4,32,1,2,3,5660,17056,2,13,3,4,80,1,12,3,5,3,1,2,Dissatisfied ,56 ? 
309,No,Travel_Rarely,25 - 34,Current Employees,R&D,Technical Degree,STAFF-310,423.0,Male,Research Scientist,Married,Yes,Y,4,31,1,691,5,Master's Degree,1,3,86,3,1,4,4821,10077,0,12,3,3,80,1,6,3,5,2,0,3,Very Dissatisfied ,26-35
310,No,Travel_Rarely,25 - 34,Current Employees,HR,Human Resources,STAFF-311,424.0,Male,Human Resources,Married,No,Y,1,31,1,106,2,Bachelor's Degree,1,1,62,2,2,1,6410,17822,3,12,3,4,80,0,9,3,2,2,1,0,Very Satisfied,26-35
311,No,Travel_Frequently,45 - 54,Current Employees,R&D,Life Sciences,STAFF-312,425.0,Male,Laboratory Technician,Divorced,No,Y,2,45,1,1249,7,Bachelor's Degree,1,1,97,3,3,1,5210,20308,1,18,3,1,80,1,24,3,24,9,9,11,Very Satisfied,36-45
312,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-313,426.0,Male,Research Scientist,Divorced,Yes,Y,2,31,1,192,2,Master's Degree,1,3,32,3,1,4,2695,7747,0,18,3,2,80,1,3,1,2,2,2,2,Very Dissatisfied ,26-35
313,No,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,STAFF-314,428.0,Female,Manager,Married,No,Y,2,33,1,553,5,Master's Degree,1,4,74,3,3,2,11878,23364,6,11,3,2,80,2,12,3,10,6,8,8,Satisfied,26-35
314,No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-315,429.0,Male,Manager,Married,Yes,Y,3,39,1,117,10,High School,1,3,99,3,4,1,17068,5355,1,14,3,4,80,0,21,3,21,9,11,10,Very Satisfied,36-45
315,No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-316,430.0,Female,Laboratory Technician,Single,No,Y,5,43,1,185,10,Master's Degree,1,3,33,3,1,4,2455,10675,0,19,3,1,80,0,9,3,8,7,1,7,Very Dissatisfied ,36-45
316,No,Travel_Rarely,45 - 54,Current Employees,R&D,Technical Degree,STAFF-317,431.0,Female,Healthcare Representative,Single,Yes,Y,2,49,1,1091,1,Associates Degree,1,3,90,2,4,3,13964,17810,7,12,3,4,80,0,25,3,7,1,0,7,Dissatisfied ,46-55
317,Yes,Travel_Rarely,45 - 54,Ex-Employees,R&D,Medical,STAFF-318,433.0,Male,Research Scientist,Married,No,Y,3,52,0,723,8,Master's Degree,1,3,85,2,2,2,4941,17747,2,15,3,1,80,0,11,2,8,2,7,7,Satisfied,46-55
318,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-319,434.0,Female,Research Scientist,Single,Yes,Y,2,27,1,1220,5,Bachelor's Degree,1,3,85,3,1,2,2478,20938,1,12,3,2,80,0,4,2,4,3,1,2,Satisfied,26-35
319,No,Travel_Rarely,25 - 34,Current Employees,Sales,Technical Degree,STAFF-320,436.0,Female,Sales Executive,Married,Yes,Y,2,32,1,588,8,Associates Degree,1,3,65,2,2,2,5228,24624,1,11,3,4,80,0,13,3,13,12,11,9,Satisfied,26-35
320,No,Travel_Rarely,25 - 34,Current Employees,Sales,Life Sciences,STAFF-321,437.0,Male,Sales Executive,Single,Yes,Y,3,27,1,1377,2,Bachelor's Degree,1,4,74,3,2,3,4478,5242,1,11,3,1,80,0,5,3,5,4,0,4,Dissatisfied ,26-35
321,No,Travel_Rarely,25 - 34,Current Employees,Sales,Marketing,STAFF-322,438.0,Male,Sales Executive,Divorced,No,Y,3,31,1,691,7,Bachelor's Degree,1,4,73,3,2,4,7547,7143,4,12,3,4,80,3,13,3,7,7,1,7,Very Dissatisfied ,26-35
322,No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-323,439.0,Female,Research Scientist,Single,No,Y,0,32,1,1018,2,Master's Degree,1,1,74,4,2,4,5055,10557,7,16,3,3,80,0,10,2,7,7,0,7,Very Dissatisfied ,26-35
323,Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Medical,STAFF-324,440.0,Male,Research Scientist,Married,Yes,Y,4,28,0,1157,2,Master's Degree,1,1,84,1,1,4,3464,24737,5,13,3,4,80,0,5,2,3,2,2,2,Very Dissatisfied ,26-35
324,No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-325,441.0,Female,Research Scientist,Married,No,Y,2,30,1,1275,28,Associates Degree,1,4,64,3,2,4,5775,11934,1,13,3,4,80,2,11,3,10,8,1,9,Very Dissatisfied ,26-35
325,No,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,STAFF-326,442.0,Female,Manufacturing Director,Married,No,Y,2,31,1,798,7,Associates Degree,1,3,48,2,3,3,8943,14034,1,24,4,1,80,1,10,3,10,9,8,9,Dissatisfied ,26-35
326,No,Travel_Frequently,35 - 44,Current Employees,R&D,Medical,STAFF-327,444.0,Male,Manager,Married,No,Y,2,39,1,672,7,Associates Degree,1,3,54,2,5,4,19272,21141,1,15,3,1,80,1,21,3,21,9,13,3,Very Dissatisfied ,36-45
327,Yes,Travel_Rarely,35 - 44,Ex-Employees,Sales,Medical,STAFF-328,445.0,Female,Sales Executive,Married,Yes,Y,3,39,0,1162,3,Associates Degree,1,4,41,3,2,3,5238,17778,4,18,3,1,80,0,12,2,1,0,0,0,Dissatisfied ,36-45
328,No,Travel_Frequently,25 - 34,Current Employees,Sales,Marketing,STAFF-329,446.0,Male,Sales Executive,Single,No,Y,6,33,1,508,10,Bachelor's Degree,1,2,46,2,2,4,4682,4317,3,14,3,3,80,0,9,2,7,7,0,1,Very Dissatisfied ,26-35
329,No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,STAFF-330,447.0,Male,Research Director,Married,No,Y,2,47,1,1482,5,Doctoral Degree,1,4,42,3,5,3,18300,16375,4,11,3,2,80,1,21,3,3,2,1,1,Dissatisfied ,46-55
330,No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-331,448.0,Female,Laboratory Technician,Divorced,No,Y,3,43,1,559,10,Master's Degree,1,3,82,2,2,3,5257,6227,1,11,3,2,80,1,9,4,9,7,0,0,Dissatisfied ,36-45
331,No,Non-Travel,25 - 34,Current Employees,Sales,Marketing,STAFF-332,449.0,Male,Sales Executive,Married,Yes,Y,0,27,1,210,1,High School,1,3,73,3,2,2,6349,22107,0,13,3,4,80,1,6,3,5,4,1,4,Satisfied,26-35
332,No,Travel_Frequently,45 - 54,Current Employees,R&D,Life Sciences,STAFF-333,450.0,Female,Research Scientist,Single,No,Y,4,54,1,928,20,Master's Degree,1,4,31,3,2,3,4869,16885,3,12,3,4,80,0,20,2,4,3,0,3,Dissatisfied ,46-55
333,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-334,451.0,Female,Healthcare Representative,Married,No,Y,1,43,1,1001,7,Bachelor's Degree,1,3,43,3,3,1,9985,9262,8,16,3,1,80,1,10,2,1,0,0,0,Very Satisfied,36-45
334,No,Travel_Rarely,45 - 54,Current Employees,R&D,Other,STAFF-335,452.0,Male,Research Scientist,Married,No,Y,3,45,1,549,8,Master's Degree,1,4,75,3,2,4,3697,9278,9,14,3,1,80,2,12,3,10,9,9,8,Very Dissatisfied ,36-45
335,No,Travel_Rarely,35 - 44,Current Employees,Sales,Medical,STAFF-336,453.0,Male,Sales Executive,Married,Yes,Y,2,40,1,1124,1,Associates Degree,1,2,57,1,2,4,7457,13273,2,22,4,3,80,3,6,2,4,3,0,2,Very Dissatisfied ,36-45
336,Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Other,STAFF-337,454.0,Male,Laboratory Technician,Married,Yes,Y,4,29,0,318,8,Master's Degree,1,2,77,1,1,1,2119,4759,1,11,3,4,80,0,7,2,7,7,0,7,Very Satisfied,26-35
337,No,Travel_Rarely,25 - 34,Current Employees,R&D,Other,STAFF-338,455.0,Male,Laboratory Technician,Single,No,Y,2,29,1,738,9,Doctoral Degree,1,2,30,2,1,4,3983,7621,0,17,3,3,80,0,4,3,3,2,2,2,Very Dissatisfied ,26-35
338,No,Travel_Rarely,25 - 34,Current Employees,Sales,Marketing,STAFF-339,456.0,Female,Sales Executive,Divorced,No,Y,2,30,1,570,5,Bachelor's Degree,1,4,30,2,2,3,6118,5431,1,13,3,3,80,3,10,3,10,9,1,2,Dissatisfied ,26-35
339,No,Travel_Rarely,25 - 34,Current Employees,Sales,Marketing,STAFF-340,458.0,Female,Sales Executive,Married,No,Y,3,27,1,1130,8,Master's Degree,1,2,56,3,2,2,6214,3415,1,18,3,1,80,1,8,3,8,7,0,7,Satisfied,26-35
340,No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-341,460.0,Male,Manufacturing Director,Divorced,No,Y,2,37,1,1192,5,Associates Degree,1,4,61,3,2,4,6347,23177,7,16,3,3,80,2,8,2,6,2,0,4,Very Dissatisfied ,36-45
341,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-342,461.0,Male,Research Director,Divorced,Yes,Y,3,38,1,343,15,Associates Degree,1,3,92,2,3,4,11510,15682,0,14,3,2,80,1,12,3,11,10,2,9,Very Dissatisfied ,36-45
342,No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-343,462.0,Female,Manufacturing Director,Single,Yes,Y,2,31,1,1232,7,Master's Degree,1,3,39,3,3,4,7143,25713,1,14,3,3,80,0,11,2,11,9,4,10,Very Dissatisfied ,26-35
343,No,Travel_Rarely,25 - 34,Current Employees,Sales,Marketing,STAFF-344,463.0,Female,Sales Executive,Divorced,Yes,Y,2,29,1,144,10,High School,1,4,39,2,2,2,8268,11866,1,14,3,1,80,2,7,3,7,7,1,7,Satisfied,26-35
344,No,Travel_Rarely,35 - 44,Current Employees,R&D,Technical Degree,STAFF-345,464.0,Male,Manufacturing Director,Single,No,Y,5,35,1,1296,5,Master's Degree,1,3,62,3,3,2,8095,18264,0,13,3,4,80,0,17,3,16,6,0,13,Satisfied,26-35
345,No,Travel_Rarely,Under 25,Current Employees,R&D,Life Sciences,STAFF-346,465.0,Male,Research Scientist,Divorced,No,Y,2,23,1,1309,26,High School,1,3,83,3,1,4,2904,16092,1,12,3,3,80,2,4,2,4,2,0,2,Very Dissatisfied ,18-25
346,No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-347,466.0,Male,Manufacturing Director,Single,Yes,Y,3,41,1,483,6,Bachelor's Degree,1,4,95,2,2,2,6032,10110,6,15,3,4,80,0,8,3,5,4,1,2,Satisfied,36-45
347,No,Travel_Frequently,45 - 54,Current Employees,Sales,Medical,STAFF-348,467.0,Male,Sales Representative,Single,No,Y,3,47,1,1309,4,High School,1,2,99,3,2,3,2976,25751,3,19,3,1,80,0,5,3,0,0,0,0,Dissatisfied ,46-55
348,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-349,468.0,Female,Research Director,Single,No,Y,2,42,1,810,23,Doctoral Degree,1,1,44,3,4,4,15992,15901,2,14,3,2,80,0,16,3,1,0,0,0,Very Dissatisfied ,36-45
349,No,Non-Travel,25 - 34,Current Employees,Sales,Life Sciences,STAFF-350,469.0,Male,Sales Executive,Married,No,Y,3,29,1,746,2,Bachelor's Degree,1,4,61,3,2,3,4649,16928,1,14,3,1,80,1,4,2,4,3,0,2,Dissatisfied ,26-35
350,No,Travel_Rarely,35 - 44,Current Employees,HR,Technical Degree,STAFF-351,470.0,Male,Human Resources,Divorced,Yes,Y,5,42,1,544,2,High School,1,3,52,3,1,3,2696,24017,0,11,3,3,80,1,4,3,3,2,1,0,Dissatisfied ,36-45
351,No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-352,471.0,Female,Laboratory Technician,Married,No,Y,4,32,1,1062,2,Bachelor's Degree,1,3,75,3,1,2,2370,3956,1,13,3,3,80,1,8,3,8,0,0,7,Satisfied,26-35
352,No,Travel_Rarely,45 - 54,Current Employees,Sales,Medical,STAFF-353,473.0,Female,Manager,Married,No,Y,3,48,1,530,29,High School,1,1,91,3,3,3,12504,23978,3,21,4,2,80,1,15,1,0,0,0,0,Dissatisfied ,46-55
353,No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-354,474.0,Male,Research Scientist,Divorced,Yes,Y,2,37,1,1319,6,Bachelor's Degree,1,3,51,4,2,1,5974,17001,4,13,3,1,80,2,13,3,7,7,6,7,Very Satisfied,36-45
354,No,Non-Travel,25 - 34,Current Employees,Sales,Technical Degree,STAFF-355,475.0,Female,Sales Executive,Married,Yes,Y,2,30,1,641,25,Associates Degree,1,4,85,3,2,3,4736,6069,7,12,3,2,80,1,4,4,2,2,2,2,Dissatisfied ,26-35
355,No,Travel_Rarely,25 - 34,Current Employees,Sales,Life Sciences,STAFF-356,476.0,Male,Sales Executive,Married,No,Y,3,26,1,933,1,Bachelor's Degree,1,3,57,3,2,3,5296,20156,1,17,3,2,80,1,8,3,8,7,7,7,Dissatisfied ,26-35
356,No,Travel_Rarely,35 - 44,Current Employees,R&D,Other,STAFF-357,477.0,Male,Healthcare Representative,Single,No,Y,6,42,1,1332,2,Master's Degree,1,1,98,2,2,4,6781,17078,3,23,4,2,80,0,14,3,1,0,0,0,Very Dissatisfied ,36-45
357,Yes,Travel_Frequently,Under 25,Ex-Employees,Sales,Technical Degree,STAFF-358,478.0,Female,Sales Representative,Single,Yes,Y,3,21,0,756,1,High School,1,1,99,2,1,2,2174,9150,1,11,3,3,80,0,3,3,3,2,1,2,Satisfied,18-25
358,No,Non-Travel,35 - 44,Current Employees,Sales,Medical,STAFF-359,479.0,Female,Sales Executive,Single,No,Y,6,36,1,845,1,Doctoral Degree,1,4,45,3,2,4,6653,15276,4,15,3,2,80,0,7,3,1,0,0,0,Very Dissatisfied ,36-45
359,No,Travel_Frequently,35 - 44,Current Employees,Sales,Medical,STAFF-360,481.0,Male,Sales Executive,Married,No,Y,2,36,1,541,3,Master's Degree,1,1,48,2,3,4,9699,7246,4,11,3,1,80,1,16,3,13,9,1,12,Very Dissatisfied ,36-45
360,No,Travel_Rarely,Over 55,Current Employees,R&D,Medical,STAFF-361,482.0,Male,Healthcare Representative,Married,No,Y,2,57,1,593,1,Master's Degree,1,4,88,3,2,3,6755,2967,2,11,3,3,80,0,15,3,3,2,1,2,Dissatisfied ,56 ? 
361,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-362,483.0,Female,Laboratory Technician,Married,Yes,Y,3,40,1,1171,10,Master's Degree,1,4,46,4,1,3,2213,22495,3,13,3,3,80,1,10,3,7,7,1,7,Dissatisfied ,36-45
362,No,Non-Travel,Under 25,Current Employees,Sales,Medical,STAFF-363,484.0,Male,Sales Representative,Single,No,Y,3,21,1,895,9,Associates Degree,1,1,39,3,1,4,2610,2851,1,24,4,3,80,0,3,2,3,2,2,2,Very Dissatisfied ,18-25
363,Yes,Travel_Rarely,25 - 34,Ex-Employees,Sales,Marketing,STAFF-364,485.0,Female,Sales Representative,Single,Yes,Y,2,33,0,350,5,Bachelor's Degree,1,4,34,3,1,3,2851,9150,1,13,3,2,80,0,1,3,1,0,0,0,Dissatisfied ,26-35
364,No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-365,486.0,Female,Laboratory Technician,Married,No,Y,3,37,1,921,10,Bachelor's Degree,1,3,98,3,1,1,3452,17663,6,20,4,2,80,1,17,3,5,4,0,3,Very Satisfied,36-45
365,No,Non-Travel,45 - 54,Current Employees,R&D,Medical,STAFF-366,487.0,Female,Manufacturing Director,Married,No,Y,2,46,1,1144,7,Master's Degree,1,3,30,3,2,3,5258,16044,2,14,3,3,80,0,7,4,1,0,0,0,Dissatisfied ,46-55
366,Yes,Travel_Frequently,35 - 44,Ex-Employees,Sales,Marketing,STAFF-367,488.0,Male,Sales Executive,Single,No,Y,5,41,0,143,4,Bachelor's Degree,1,1,56,3,2,2,9355,9558,1,18,3,3,80,0,8,3,8,7,7,7,Satisfied,36-45
367,No,Travel_Rarely,45 - 54,Current Employees,R&D,Technical Degree,STAFF-368,491.0,Male,Healthcare Representative,Single,No,Y,2,50,1,1046,10,Bachelor's Degree,1,4,100,2,3,4,10496,2755,6,15,3,4,80,0,20,3,4,3,1,3,Very Dissatisfied ,46-55
368,Yes,Travel_Rarely,35 - 44,Ex-Employees,Sales,Marketing,STAFF-369,492.0,Male,Sales Executive,Married,Yes,Y,6,40,0,575,22,Associates Degree,1,3,68,2,2,3,6380,6110,2,12,3,1,80,2,8,3,6,4,1,0,Dissatisfied ,36-45
369,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-370,493.0,Male,Research Scientist,Single,Yes,Y,5,31,1,408,9,Master's Degree,1,3,42,2,1,2,2657,7551,0,16,3,4,80,0,3,3,2,2,2,2,Satisfied,26-35
370,Yes,Travel_Rarely,Under 25,Ex-Employees,Sales,Life Sciences,STAFF-371,494.0,Female,Sales Representative,Single,No,Y,0,21,0,156,12,Bachelor's Degree,1,3,90,4,1,2,2716,25422,1,15,3,4,80,0,1,3,1,0,0,0,Satisfied,18-25
371,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-372,495.0,Male,Research Scientist,Single,No,Y,4,29,1,1283,23,Bachelor's Degree,1,4,54,3,1,4,2201,18168,9,16,3,4,80,0,6,3,3,2,1,2,Very Dissatisfied ,26-35
372,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-373,496.0,Male,Healthcare Representative,Single,No,Y,5,35,1,755,9,Master's Degree,1,3,97,2,2,2,6540,19394,9,19,3,3,80,0,10,3,1,1,0,0,Satisfied,26-35
373,No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-374,497.0,Male,Laboratory Technician,Divorced,No,Y,2,27,1,1469,1,Associates Degree,1,4,82,3,1,2,3816,17881,1,11,3,2,80,1,5,3,5,2,0,4,Satisfied,26-35
374,No,Travel_Rarely,25 - 34,Current Employees,Sales,Life Sciences,STAFF-375,498.0,Male,Sales Executive,Single,No,Y,1,28,1,304,9,Master's Degree,1,2,92,3,2,4,5253,20750,1,16,3,4,80,0,7,3,7,5,0,7,Very Dissatisfied ,26-35
375,No,Travel_Rarely,45 - 54,Current Employees,R&D,Other,STAFF-376,499.0,Male,Healthcare Representative,Single,No,Y,2,49,1,1261,7,Bachelor's Degree,1,2,31,2,3,3,10965,12066,8,24,4,3,80,0,26,3,5,2,0,0,Dissatisfied ,46-55
376,No,Travel_Rarely,45 - 54,Current Employees,Sales,Life Sciences,STAFF-377,500.0,Female,Sales Executive,Married,No,Y,2,51,1,1178,14,Associates Degree,1,3,87,3,2,4,4936,14862,4,11,3,3,80,1,18,2,7,7,0,7,Very Dissatisfied ,46-55
377,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-378,501.0,Female,Research Scientist,Married,No,Y,3,36,1,329,2,Bachelor's Degree,1,4,96,3,1,3,2543,11868,4,13,3,2,80,1,6,3,2,2,2,2,Dissatisfied ,36-45
378,Yes,Non-Travel,25 - 34,Ex-Employees,Sales,Marketing,STAFF-379,502.0,Male,Sales Executive,Single,Yes,Y,3,34,0,1362,19,Bachelor's Degree,1,1,67,4,2,4,5304,4652,8,13,3,2,80,0,9,2,5,2,0,4,Very Dissatisfied ,26-35
379,No,Travel_Rarely,Over 55,Current Employees,R&D,Life Sciences,STAFF-380,505.0,Female,Manager,Single,Yes,Y,2,55,1,1311,2,Bachelor's Degree,1,3,97,3,4,4,16659,23258,2,13,3,3,80,0,30,3,5,4,1,2,Very Dissatisfied ,46-55
380,No,Travel_Rarely,Under 25,Current Employees,Sales,Marketing,STAFF-381,507.0,Female,Sales Executive,Divorced,Yes,Y,2,24,1,1371,10,Master's Degree,1,4,77,3,2,3,4260,5915,1,12,3,4,80,1,5,4,5,2,0,3,Dissatisfied ,18-25
381,No,Travel_Rarely,25 - 34,Current Employees,Sales,Technical Degree,STAFF-382,508.0,Male,Sales Representative,Married,No,Y,3,30,1,202,2,High School,1,3,72,3,1,2,2476,17434,1,18,3,1,80,1,1,3,1,0,0,0,Satisfied,26-35
382,Yes,Travel_Frequently,25 - 34,Ex-Employees,R&D,Technical Degree,STAFF-383,510.0,Male,Research Scientist,Single,No,Y,2,26,0,575,3,High School,1,3,73,3,1,1,3102,6582,0,22,4,3,80,0,7,3,6,4,0,4,Very Satisfied,26-35
383,No,Travel_Rarely,Under 25,Current Employees,R&D,Medical,STAFF-384,511.0,Female,Research Scientist,Married,No,Y,1,22,1,253,11,Bachelor's Degree,1,1,43,3,1,2,2244,24440,1,13,3,4,80,1,2,3,2,1,1,2,Satisfied,18-25
384,No,Travel_Rarely,35 - 44,Current Employees,Sales,Medical,STAFF-385,513.0,Male,Sales Executive,Married,No,Y,2,36,1,164,2,Associates Degree,1,2,61,2,3,3,7596,3809,1,13,3,2,80,2,10,3,10,9,9,0,Dissatisfied ,36-45
385,Yes,Travel_Frequently,25 - 34,Ex-Employees,R&D,Technical Degree,STAFF-386,514.0,Male,Research Scientist,Single,Yes,Y,4,30,0,464,4,Bachelor's Degree,1,3,40,3,1,4,2285,3427,9,23,4,3,80,0,3,3,1,0,0,0,Very Dissatisfied ,26-35
386,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-387,515.0,Female,Laboratory Technician,Divorced,No,Y,2,37,1,1107,14,Bachelor's Degree,1,4,95,3,1,1,3034,26914,1,12,3,3,80,1,18,2,18,7,12,17,Very Satisfied,36-45
387,No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,STAFF-388,516.0,Female,Sales Executive,Divorced,No,Y,5,40,1,759,2,Associates Degree,1,4,46,3,2,2,5715,22553,7,12,3,3,80,2,8,3,5,4,1,3,Satisfied,36-45
388,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-389,517.0,Female,Laboratory Technician,Divorced,No,Y,5,42,1,201,1,Master's Degree,1,2,95,3,1,1,2576,20490,3,16,3,2,80,1,8,3,5,2,1,2,Very Satisfied,36-45
389,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-390,518.0,Male,Manufacturing Director,Single,Yes,Y,2,37,1,1305,10,Master's Degree,1,3,49,3,2,2,4197,21123,2,12,3,4,80,0,18,2,1,0,0,1,Satisfied,36-45
390,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-391,520.0,Male,Research Director,Divorced,No,Y,3,43,1,982,12,Bachelor's Degree,1,1,59,2,4,2,14336,4345,1,11,3,3,80,1,25,3,25,10,3,9,Satisfied,36-45
391,No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-392,521.0,Female,Laboratory Technician,Married,No,Y,3,40,1,555,2,Bachelor's Degree,1,2,78,2,2,3,3448,13436,6,22,4,2,80,1,20,3,1,0,0,0,Dissatisfied ,36-45
392,No,Travel_Rarely,45 - 54,Current Employees,R&D,Medical,STAFF-393,522.0,Male,Research Director,Married,No,Y,4,54,1,821,5,Associates Degree,1,1,86,3,5,1,19406,8509,4,11,3,3,80,1,24,2,4,2,1,2,Very Satisfied,46-55
